algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
Kyber512,426.440160,0.016995,0.128968,0.016995
Kyber512,427.017857,0.014851,0.127611,0.014851
Kyber512,426.554900,0.016860,0.127721,0.016860
Kyber512,427.240612,0.010754,0.119785,0.010754
Kyber512,427.180946,0.015795,0.132501,0.015795
Kyber512,427.001972,0.012700,0.124402,0.012700
Kyber512,426.481314,0.014038,0.152250,0.014038
Kyber512,426.546513,0.010701,0.122883,0.010701
Kyber512,425.994532,0.018928,0.128073,0.018928
Kyber512,426.140357,0.016088,0.161505,0.016088
Kyber512,426.885897,0.013768,0.152757,0.013768
Kyber512,425.792435,0.011759,0.164733,0.011759
Kyber512,425.270943,0.014014,0.133464,0.014014
Kyber512,427.241865,0.013538,0.133931,0.013538
Kyber512,426.436482,0.016444,0.125021,0.016444
Kyber512,426.603264,0.014201,0.131750,0.014201
Kyber512,426.319221,0.013180,0.142756,0.013180
Kyber512,426.415158,0.015412,0.128501,0.015412
Kyber512,427.013427,0.016333,0.124697,0.016333
Kyber512,427.196479,0.015283,0.125525,0.015283
Kyber512,427.445911,0.013665,0.166816,0.013665
